Component Name;Part Number;Description;Quantity;Material;Supplier;Unit Cost;Lead Time;Criticality;Source of Supply;Revision Level;Manufacturing Process;Quality Standards;Testing Requirements;Assembly Instructions;Subassembly Level;Weight;Packaging Information;Environmental Compliance;Safety Considerations
Chamber Assembly;CHM-001;Main chamber body;1;Stainless Steel;Vendor A;$10,000;12 weeks;High;External;A.1;CNC Machining, Welding;SEMI S123;Helium Leak Test;Provided by vendor;Level 1;200 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Lid Assembly;LID-001;Lid for chamber;1;Aluminum Alloy;Vendor B;$5,000;8 weeks;High;External;A.1;CNC Machining;SEMI S456;Visual Inspection;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Gas Delivery System;GDS-001;Gas distribution manifold;1;Stainless Steel;Vendor C;$8,000;10 weeks;Medium;External;A.2;Precision Machining;SEMI S789;Leak Test;Provided by vendor;Level 2;30 kg;Custom crate;RoHS, REACH;-
Plasma Source Assembly;PSA-001;RF Generator and Electrostatic Chuck Assembly;1;Various;Vendor D;$20,000;14 weeks;High;External;A.3;Integration of Components;SEMI S234;Electrical Tests;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;WHS-001;Robot arm and wafer chuck;1;Aluminum Alloy, Ceramic;Vendor E;$15,000;16 weeks;High;External;A.1;Robotic Assembly;SEMI S567;Functional Tests;Provided by vendor;Level 2;40 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Ion Source Assembly;ISA-002;Ion source for plasma etching;1;Titanium;Vendor F;$18,000;15 weeks;Medium;External;B.1;Laser Cutting, Assembly;SEMI S890;Mass Spectrometry Test;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Cooling System;CS-002;Closed-loop coolant system;1;Stainless Steel;Vendor G;$12,000;10 weeks;Medium;External;A.2;CNC Machining;SEMI S678;Pressure Test;Provided by vendor;Level 1;60 kg;Custom crate;RoHS, REACH;-
Power Supply Unit;PSU-002;High-voltage power supply;1;Copper, Silicon;Vendor H;$25,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Gas Purification System;GPS-002;Gas purification and filtration;1;Polypropylene;Vendor I;$15,000;12 weeks;Medium;External;A.1;Filtration and Purification;SEMI S456;Gas Purity Analysis;Provided by vendor;Level 1;45 kg;Custom crate;RoHS, REACH;-
Temperature Control Unit;TCU-002;Precision temperature control;1;Inconel;Vendor J;$20,000;14 weeks;High;External;B.2;Thermoelectric Cooling;SEMI S789;Temperature Stability Test;Provided by vendor;Level 2;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Etching Chamber;EC-002;Specialized chamber for etching process;1;Quartz;Vendor K;$22,000;16 weeks;High;External;A.3;Quartz Fabrication;SEMI S234;Visual Inspection;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Vacuum System;VS-002;High-performance vacuum system;1;Stainless Steel;Vendor L;$30,000;20 weeks;High;External;B.1;Vacuum Technology;SEMI S567;Vacuum Integrity Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Plasma Control Unit;PCU-002;Control system for plasma parameters;1;Electronic Components;Vendor M;$15,000;12 weeks;Medium;External;A.1;Electronic Assembly;SEMI S345;Electrical Tests;Provided by vendor;Level 1;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Gas Flow Management System;GFMS-002;System for controlling gas flow rates;1;Stainless Steel;Vendor N;$16,000;14 weeks;Medium;External;A.2;Flow Rate Calibration;SEMI S678;Gas Flow Stability Test;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;-
Wafer Loading System;WLS-002;System for loading wafers into chamber;1;Aluminum Alloy;Vendor O;$10,000;8 weeks;Medium;External;B.2;Automated Loading;SEMI S567;Robotic Tests;Provided by vendor;Level 1;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Plasma Diagnostics Module;PDM-002;Diagnostic tools for monitoring plasma;1;Various;Vendor P;$28,000;22 weeks;High;External;A.3;Integration of Diagnostics;SEMI S234;Diagnostics Performance Test;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Control Software System;CSS-002;Software system for process control;1;Software;Vendor Q;$8,000;10 weeks;High;External;A.1;Software Development;ISO 9001;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
