Unnamed: 0.1,Unnamed: 0,Timestamp,Component_Name,Part_Number,Description,Quantity,Material,Supplier,Unit_Cost,Lead_Time,Criticality,Source_of_Supply,Revision_Level,Manufacturing_Process,Quality_Standards,Testing_Requirements,Assembly_Instructions,Subassembly_Level,Weight,Packaging_Information,Environmental_Compliance,Safety_Considerations,Demand
27,100,2030-02-01 08:00:00,RMS-002,30307,Closed-loop coolant system,1,"Aluminum, Glass",Vendor SS,500,8 weeks,Medium,External,A.3,PRA Integration,SEMI S456,Resolution Enhancement Test,Provided by vendor,Level 2,88.0,Custom crate,"RoHS, REACH",-,240.0
84,93,2027-08-01 08:00:00,CHM-001,11223,Gas Chromatography Module,1,"Aluminum, Optical Glass",Vendor RR,30000,10 weeks,High,External,B.1,SPA Integration,SEMI S234,Functional Tests,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,240.0
100,40,2027-05-01 08:00:00,GC-003,66177,Vacuum Sealing System,1,Electronic Components,Vendor Y,24195,8 weeks,High,External,A.2,"Lamp Assembly, Testing",SEMI S567,Helium Leak Test,Provided by vendor,Level 1,180.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,60.0
19,45,2027-11-01 08:00:00,HPS-002,11223,Pulsed Laser Deposition Unit,1,"Zinc Sulfide, Aluminum",Vendor RR,500,6 weeks,Low,External,A.2,RTS Integration,SEMI S567,Functional Tests,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,240.0
86,3,2030-01-01 08:00:00,FTS-001,26617,Acoustic Control Unit,1,"Glass, Quartz",Vendor ZZ,12154,12 weeks,Low,External,A.1,LPC Integration,SEMI S678,Resolution Enhancement Test,Provided by vendor,Level 1,54.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,57.0
76,65,2025-12-01 08:00:00,ION-002,11223,Advanced Plasma Source,1,"Plastic, Stainless Steel",Vendor S,30000,10 weeks,Medium,External,A.3,GC Integration,SEMI S234,Thermal Stability Tests,Provided by vendor,Level 2,2.0,Custom packaging,"RoHS, REACH",-,8.0
1,100,2023-07-01 08:00:00,TOF-001,28194,Remote Monitoring System,1,"Quartz, Aluminum",Vendor EEE,30000,18 weeks,High,External,B.2,ACP Integration,SEMI S456,Electrical Tests,Provided by vendor,Level 2,148.0,Custom packaging,"RoHS, REACH",-,29.0
100,92,2029-06-01 08:00:00,LMP-001,14296,Gas purification and filtration,1,"Ferrite, Copper",Vendor N,30000,10 weeks,Medium,External,B.1,FCM Assembly,SEMI S234,Microstructural Analysis,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,166.0
23,100,2029-07-01 08:00:00,SPA-001,11223,RF Generator and Electrostatic Chuck Assembly,1,Stainless Steel,Vendor WW,20337,12 weeks,High,External,A.1,Electronic Assembly,SEMI S567,Spectral Analysis Test,Provided by vendor,Level 1,2.0,Custom crate,"RoHS, REACH",-,129.0
100,27,2024-06-01 08:00:00,DTP-001,11223,System for controlling gas flow rates,1,"Aluminum Alloy, Glass",Vendor C,8375,14 weeks,High,External,A.1,HEA Integration,SEMI S567,Deposition Uniformity Test,Provided by vendor,Level 1,2.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,8.0
0,42,2024-05-01 08:00:00,DTP-001,11223,Digital-to-Analog Converter,1,"Quartz, Plastic",Vendor Y,1967,12 weeks,Medium,External,A.3,ESR Integration,ISO 9001,Particle Acceleration Test,Provided by vendor,Level 2,2.0,Custom crate,"RoHS, REACH",Safety interlocks during operation,44.0
43,59,2029-09-01 08:00:00,UTS-002,66847,Plasma Control Software System,1,"Ferrite, Copper",Vendor X,30000,8 weeks,Medium,External,A.3,Vacuum Sealing,SEMI S678,Control System Tests,Provided by vendor,Level 2,34.0,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance,223.0
48,90,2029-03-01 08:00:00,CST-001,99002,Lamp for Plasma Source,1,"Electronic Components, Ceramic",Vendor E,30000,10 weeks,High,External,A.3,Automated Loading,SEMI S789,Vaporization Rate Test,Provided by vendor,Level 1,51.0,Custom packaging,"RoHS, REACH",Safety interlocks during lid opening,222.0
100,58,2027-02-01 08:00:00,TCU-002,60904,Electron Microscopy System,1,Silicon,Vendor N,500,6 weeks,High,External,A.2,RFQ Integration,ISO 14001,Software Testing,Provided by vendor,Level 1,93.0,Custom crate,"RoHS, REACH",-,24.0
100,93,2023-09-01 08:00:00,PSU-002,30466,Electron Microscopy System,1,"Gold, Quartz",Vendor KK,500,15 weeks,High,External,B.2,Flow Rate Calibration,SEMI S678,Ion Dose Uniformity Test,Provided by vendor,Level 2,162.0,Custom packaging,"RoHS, REACH",-,240.0
63,100,2023-04-01 08:00:00,THZ-001,99002,Extreme Ultraviolet Light Source,1,Stainless Steel,Vendor XX,30000,4 weeks,Medium,External,A.3,CVL Integration,SEMI S567,Spectral Analysis Test,Provided by vendor,Level 2,102.0,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
20,7,2027-03-01 08:00:00,PAS-002,77508,High-Voltage Modulator,1,"Aluminum, Glass",Vendor H,18609,12 weeks,Medium,External,A.2,EDA Integration,SEMI S567,Resonance Frequency Test,Provided by vendor,Level 1,105.0,Custom packaging,"RoHS, REACH",-,73.0
100,0,2028-02-01 08:00:00,CST-001,65530,Cathode Voltage Limiter,1,Electronic Components,Vendor Z,686,12 weeks,High,External,A.1,Electronic Assembly,SEMI S890,Polishing Uniformity Test,Provided by vendor,Level 2,170.0,Custom crate,"RoHS, REACH",-,38.0
0,100,2026-11-01 08:00:00,EMS-002,99002,Vacuum Sealing System,1,Polypropylene,Vendor WW,1939,15 weeks,Medium,External,A.3,GDU Assembly,SEMI S678,Leak Test,Provided by vendor,Level 2,147.0,Custom crate,"RoHS, REACH",-,235.0
0,0,2028-12-01 08:00:00,EMC-003,11223,Nanoparticle Deposition Module,1,Stainless Steel,Vendor WW,500,12 weeks,Low,External,A.3,Injection Molding,SEMI S345,Resolution Test,Provided by vendor,Level 2,22.0,Custom crate,"RoHS, REACH",-,37.0
0,100,2025-12-01 08:00:00,SPA-001,99002,Digital-to-Analog Converter,1,"Copper, Ceramic",Vendor X,500,18 weeks,Medium,External,A.3,SPS Integration,SEMI S567,Beam Collimation Accuracy Test,Provided by vendor,Level 2,3.0,Custom packaging,"RoHS, REACH",-,240.0
74,93,2027-06-01 08:00:00,FTIR-001,99002,Thermal Evaporation Source,1,"Aluminum, Glass",Vendor V,30000,6 weeks,Medium,External,A.1,MIR Spectroscopy Integration,SEMI S567,Purification Efficiency Test,Provided by vendor,Level 2,43.0,Custom packaging,"RoHS, REACH",-,177.0
