Unnamed: 0,Timestamp,Component_Name,Part_Number,Description,Quantity,Material,Supplier,Unit_Cost,Lead_Time,Criticality,Source_of_Supply,Revision_Level,Manufacturing_Process,Quality_Standards,Testing_Requirements,Assembly_Instructions,Subassembly_Level,Weight,Packaging_Information,Environmental_Compliance,Safety_Considerations,Demand
0,2024-08-01 08:00:00,RMS-002,99001,High-Voltage Modulator,1,Quartz,Vendor TT,5000,12 weeks,Medium,External,A.2,TOF-MS Integration,SEMI S678,Cleaning Efficiency Test,Provided by vendor,Level 1,58,Custom crate,"RoHS, REACH",-,90.0
0,2025-04-01 08:00:00,EMF-002,79862,Extreme Ultraviolet Light Source,1,Electronic Components,Vendor VV,13230,10 weeks,Medium,External,B.2,Electronic Assembly,SEMI S456,Robotic Tests,Provided by vendor,Level 1,121,Custom crate,"RoHS, REACH",Safety interlocks during operation,121.0
49,2026-02-01 08:00:00,CVL-002,52717,Laser Beam Collimation Unit,1,Stainless Steel,Vendor GG,30000,18 weeks,High,External,A.3,Precision Machining,SEMI S123,Beam Collimation Accuracy Test,Provided by vendor,Level 2,32,Custom packaging,,Safety interlocks during operation,233.0
0,2024-12-01 08:00:00,CS-002,11223,Ion source for plasma etching,1,"Titanium, Polypropylene",Vendor WW,30000,16 weeks,High,External,B.1,LBC Integration,SEMI S567,Gas Composition Analysis,Provided by vendor,Level 2,92,Custom packaging,,Safety interlocks during operation,240.0
10,2024-11-01 08:00:00,CMP-002,11223,Scanning Probe Microscopy System,1,"Silicon, Aluminum",Vendor DDD,5000,20 weeks,Medium,External,A.2,"Laser Cutting, Assembly",SEMI S567,Magnetic Field Strength Test,Provided by vendor,Level 1,108,Custom crate,"RoHS, REACH",-,240.0
0,2025-04-01 08:00:00,DAS-002,99001,Plasma Cleaning Brush Unit,1,Electronic Components,Vendor J,14087,10 weeks,Medium,External,A.1,Integration of Components,ISO 9001,Particle Acceleration Test,Provided by vendor,Level 1,82,Custom packaging,"RoHS, REACH",-,90.0
11,2027-04-01 08:00:00,PCS-002,11223,RF Generator and Electrostatic Chuck Assembly,1,Stainless Steel,Vendor D,20811,20 weeks,Medium,External,A.2,CMP Technology,ISO 9001,Cleaning Efficiency Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,193.0
48,2025-07-01 08:00:00,PHOTO-002,99001,Gas purification and filtration,1,"Inconel, Polyurethane",Vendor LL,15047,15 weeks,Medium,External,A.1,SPS Integration,SEMI S678,Pressure Uniformity Test,Provided by vendor,Level 1,28,Custom crate,"RoHS, REACH",-,148.0
4,2024-10-01 08:00:00,MAS-002,11223,Data Acquisition System,1,"Aluminum Alloy, Ceramic",Vendor EE,30000,16 weeks,High,External,A.1,"Laser Cutting, Assembly",SEMI S456,Ellipsometry Accuracy Test,Provided by vendor,Level 2,200,Custom packaging,"RoHS, REACH",Safety interlocks during operation,240.0
56,2027-10-01 08:00:00,HGA-001,11223,Main chamber body,1,"Ferrite, Copper",Vendor WW,16012,14 weeks,Medium,External,A.1,Vacuum Technology,SEMI S789,Resonance Frequency Test,Provided by vendor,Level 2,25,Custom crate,"RoHS, REACH",Safety interlocks during operation,140.0
11,2027-06-01 08:00:00,EC-002,47111,Plasma Cleaning Brush Unit,1,"Polyethylene, Aluminum",Vendor L,5000,14 weeks,Medium,External,A.2,Photolithography Integration,SEMI S678,Separation Efficiency Test,Provided by vendor,Level 1,25,Custom crate,"RoHS, REACH",-,90.0
0,2024-08-01 08:00:00,TOF-001,99001,Data Acquisition System,1,"Polyethylene, Silicon",Vendor DDD,30000,15 weeks,High,External,B.1,Advanced Plasma Generation,SEMI S345,Beam Collimation Accuracy Test,Provided by vendor,Level 2,64,Custom crate,"RoHS, REACH",Safety interlocks during operation,90.0
