Component Name;Part Number;Description;Quantity;Material;Supplier;Unit Cost;Lead Time;Criticality;Source of Supply;Revision Level;Manufacturing Process;Quality Standards;Testing Requirements;Assembly Instructions;Subassembly Level;Weight;Packaging Information;Environmental Compliance;Safety Considerations
Power Supply Unit;WLS-002;Specialized chamber for etching process;1;Copper, Silicon;Vendor L;$30,000;20 weeks;High;External;A.1;Filtration and Purification;SEMI S234;Temperature Stability Test;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;Safety interlocks during operation
Gas Purification System;CHM-001;Main chamber body;1;Stainless Steel;Vendor A;$10,000;10 weeks;Medium;External;A.1;Laser Cutting, Assembly;SEMI S789;Functional Tests;Provided by vendor;Level 1;60 kg;Custom crate;RoHS, REACH;-
Vacuum System;VS-002;Specialized chamber for etching process;1;Electronic Components;Vendor F;$28,000;20 weeks;High;External;B.1;Electronic Assembly;SEMI S123;Mass Spectrometry Test;Provided by vendor;Level 2;60 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Cooling System;CSS-002;System for loading wafers into chamber;1;Aluminum Alloy;Vendor N;$8,000;10 weeks;High;External;A.1;Integration of Diagnostics;ISO 9001;Robotic Tests;Provided by vendor;Level 1;60 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Vacuum System;VS-002;High-performance vacuum system;1;Stainless Steel;Vendor F;$22,000;20 weeks;Medium;External;A.2;Vacuum Technology;SEMI S567;Robotic Tests;Provided by vendor;Level 2;30 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Vacuum System;WLS-002;High-performance vacuum system;1;Stainless Steel;Vendor C;$15,000;15 weeks;Medium;External;B.2;Thermoelectric Cooling;SEMI S456;Pressure Test;Provided by vendor;Level 1;80 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Ion Source Assembly;GPS-002;Specialized chamber for etching process;1;Stainless Steel;Vendor O;$8,000;22 weeks;High;External;B.2;Flow Rate Calibration;SEMI S234;Electrical Tests;Provided by vendor;Level 2;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Etching Chamber;TCU-002;Specialized chamber for etching process;1;Aluminum Alloy;Vendor F;$10,000;8 weeks;High;External;A.1;Robotic Assembly;SEMI S234;Electrical Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;ISA-002;Gas purification and filtration;1;Stainless Steel;Vendor L;$15,000;8 weeks;Medium;External;A.2;Flow Rate Calibration;SEMI S678;Leak Test;Provided by vendor;Level 1;70 kg;Custom packaging;RoHS, REACH;-
Plasma Diagnostics Module;PDM-002;Precision temperature control;1;Aluminum Alloy, Ceramic;Vendor H;$25,000;8 weeks;High;External;A.1;Robotic Assembly;SEMI S456;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Power Supply Unit;PSU-002;High-voltage power supply;1;Electronic Components;Vendor I;$25,000;22 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Visual Inspection;Provided by vendor;Level 1;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Source Assembly;WHS-001;RF Generator and Electrostatic Chuck Assembly;1;Various;Vendor P;$28,000;8 weeks;High;External;A.2;CNC Machining;SEMI S789;Gas Purity Analysis;Provided by vendor;Level 2;150 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Ion Source Assembly;WLS-002;RF Generator and Electrostatic Chuck Assembly;1;Copper, Silicon;Vendor K;$15,000;8 weeks;High;External;A.1;Integration of Diagnostics;SEMI S123;Robotic Tests;Provided by vendor;Level 1;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Lid Assembly;PCU-002;System for loading wafers into chamber;1;Copper, Silicon;Vendor H;$25,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Chamber Assembly;PCU-002;High-performance vacuum system;1;Titanium;Vendor J;$20,000;14 weeks;High;External;B.1;Vacuum Technology;SEMI S567;Mass Spectrometry Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;GFMS-002;High-performance vacuum system;1;Stainless Steel;Vendor B;$18,000;10 weeks;Medium;External;B.1;Quartz Fabrication;SEMI S678;Helium Leak Test;Provided by vendor;Level 2;30 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Vacuum System;GFMS-002;Ion source for plasma etching;1;Inconel;Vendor J;$20,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S567;Functional Tests;Provided by vendor;Level 1;150 kg;Custom packaging;RoHS, REACH;-
Power Supply Unit;CHM-001;High-voltage power supply;1;Copper, Silicon;Vendor H;$25,000;18 weeks;High;External;A.3;Filtration and Purification;SEMI S567;Electrical Safety Tests;Provided by vendor;Level 2;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Cooling System;GPS-002;High-performance vacuum system;1;Stainless Steel;Vendor P;$5,000;20 weeks;Medium;External;B.1;Precision Machining;SEMI S345;Vacuum Integrity Test;Provided by vendor;Level 2;80 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Vacuum System;EC-002;High-performance vacuum system;1;Polypropylene;Vendor F;$18,000;20 weeks;High;External;A.1;CNC Machining;SEMI S123;Diagnostics Performance Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;VS-002;Precision temperature control;1;Stainless Steel;Vendor L;$30,000;12 weeks;High;External;B.2;Flow Rate Calibration;ISO 9001;Pressure Test;Provided by vendor;Level 2;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Temperature Control Unit;VS-002;Control system for plasma parameters;1;Various;Vendor H;$18,000;15 weeks;Medium;External;A.3;Laser Cutting, Assembly;SEMI S567;Mass Spectrometry Test;Provided by vendor;Level 2;100 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Plasma Source Assembly;PSA-001;Precision temperature control;1;Various;Vendor M;$16,000;14 weeks;High;External;A.3;Integration of Diagnostics;SEMI S234;Robotic Tests;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Plasma Source Assembly;PSA-001;System for controlling gas flow rates;1;Copper, Silicon;Vendor P;$28,000;14 weeks;Medium;External;A.3;Integration of Diagnostics;SEMI S789;Electrical Tests;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Wafer Loading System;WLS-002;Ion source for plasma etching;1;Aluminum Alloy, Ceramic;Vendor G;$18,000;16 weeks;High;External;A.2;CNC Machining, Welding;SEMI S678;Mass Spectrometry Test;Provided by vendor;Level 2;40 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;PSU-002;High-voltage power supply;1;Quartz;Vendor H;$5,000;12 weeks;High;External;A.1;Electronic Assembly;SEMI S456;Helium Leak Test;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Gas Purification System;TCU-002;Lid for chamber;1;Software;Vendor H;$8,000;16 weeks;High;External;A.2;Electronic Assembly;SEMI S567;Pressure Test;Provided by vendor;Level 2;90 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Temperature Control Unit;PDM-002;Diagnostic tools for monitoring plasma;1;Copper, Silicon;Vendor H;$25,000;8 weeks;High;External;A.3;Electronic Assembly;SEMI S345;Visual Inspection;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Lid Assembly;VS-002;High-performance vacuum system;1;Inconel;Vendor L;$30,000;20 weeks;Medium;External;B.1;Vacuum Technology;SEMI S567;Vacuum Integrity Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;WHS-001;System for controlling gas flow rates;1;Stainless Steel;Vendor M;$18,000;8 weeks;Medium;External;B.2;Laser Cutting, Assembly;SEMI S456;Helium Leak Test;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Cooling System;PSU-002;Software system for process control;1;Polypropylene;Vendor Q;$10,000;16 weeks;High;External;A.1;Precision Machining;SEMI S234;Functional Tests;Provided by vendor;Level 1;120 kg;Custom crate;RoHS, REACH;-
Wafer Handling System;ISA-002;High-performance vacuum system;1;Polypropylene;Vendor P;$20,000;20 weeks;Medium;External;B.1;Vacuum Technology;SEMI S789;Vacuum Integrity Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Control Software System;CS-002;Gas distribution manifold;1;Stainless Steel;Vendor F;$30,000;20 weeks;High;External;A.2;CNC Machining;SEMI S678;Helium Leak Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;-
Vacuum System;EC-002;RF Generator and Electrostatic Chuck Assembly;1;Titanium;Vendor L;$30,000;8 weeks;High;External;A.1;CNC Machining;ISO 9001;Electrical Tests;Provided by vendor;Level 2;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Plasma Diagnostics Module;PSU-002;High-voltage power supply;1;Copper, Silicon;Vendor M;$16,000;12 weeks;High;External;A.1;Electronic Assembly;SEMI S234;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Control Software System;CS-002;System for controlling gas flow rates;1;Stainless Steel;Vendor A;$12,000;20 weeks;Medium;External;A.2;CNC Machining;SEMI S123;Software Testing;Provided by vendor;Level 1;30 kg;Custom crate;RoHS, REACH;-
Etching Chamber;CSS-002;Robot arm and wafer chuck;1;Stainless Steel;Vendor B;$10,000;10 weeks;High;External;A.1;Software Development;ISO 9001;Pressure Test;Provided by vendor;Level 1;-;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Wafer Handling System;PSA-001;Precision temperature control;1;Stainless Steel;Vendor P;$22,000;12 weeks;High;External;A.3;Electronic Assembly;SEMI S345;Vacuum Integrity Test;Provided by vendor;Level 2;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Ion Source Assembly;PCU-002;System for controlling gas flow rates;1;Inconel;Vendor P;$20,000;14 weeks;High;External;A.3;Integration of Components;SEMI S234;Mass Spectrometry Test;Provided by vendor;Level 2;100 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
