title,image-link,price,rating,reviews,availability
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",https://m.media-amazon.com/images/I/61gKkYQn6lL.__AC_SY300_SX300_QL70_ML2_.jpg,,4.3 out of 5 stars,"1,741 ratings",In Stock
"Acer Aspire 1 A115-32-C96U Slim Laptop | 15.6"" FHD Display | Intel Celeron N4500 Processor | 4GB DDR4 | 128GB eMMC | WiFi 5 | Microsoft 365 Personal 1-Year Subscription | Windows 11 in S Mode, Silver",https://m.media-amazon.com/images/I/81ux3SQKXrL.__AC_SX300_SY300_QL70_ML2_.jpg,,4.2 out of 5 stars,"2,933 ratings",In Stock
"Acer Aspire 3 A314-23P-R3QA Slim Laptop | 14.0"" Full HD IPS Display | AMD Ryzen 5 7520U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 512GB NVMe SSD | Wi-Fi 6 | Windows 11 Home,Silver",https://m.media-amazon.com/images/I/718zEa-9sWL.__AC_SY300_SX300_QL70_ML2_.jpg,$415.00,4.3 out of 5 stars,457 ratings,Only 4 left in stock - order soon.
"Acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 16GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-73B9",https://m.media-amazon.com/images/I/71F-Wcriq4L.__AC_SY300_SX300_QL70_ML2_.jpg,,4.6 out of 5 stars,18 ratings,In Stock
"Acer Aspire 5 17 A517-58M-59R9 Slim Laptop | 17.3"" FHD (1920 x 1080) IPS | Intel Core i5-1335U | Intel Iris Xe Graphics | 16GB LPDDR5 | 512GB Gen 4 SSD | Wi-Fi 6E | USB4/Thunderbolt 4 | Backlit KB",https://m.media-amazon.com/images/I/71c7TU92rJL.__AC_SY300_SX300_QL70_ML2_.jpg,,Previous page of related Sponsored Products,,In Stock
"acer Aspire 1 15.6"" FHD Slim Flagship Laptop, 16GB RAM, 512GB PCIe SSD +128GB eMMC， Intel Celeron N4500（up to 2.8GHz, Webcam, Type-A&C, Windows 11, 1-Year Office 365 +GM Accessories",https://m.media-amazon.com/images/I/71ecItcXLbL.__AC_SY300_SX300_QL70_ML2_.jpg,$339.99,3.9 out of 5 stars,83 ratings,In Stock
"Acer Swift Go Intel Evo Thin & Light Premium Laptop 14"" 1920x1200 100% sRGB Touch Screen Display Intel Core i7-1355U Intel Iris Xe 16GB LPDDR5 512GB Gen 4 SSD SFG14-71T-72QV",https://m.media-amazon.com/images/I/71iZrF8XXiL.__AC_SY300_SX300_QL70_ML2_.jpg,,4.3 out of 5 stars,190 ratings,In Stock
"Acer Nitro 17 Gaming Laptop | AMD Ryzen 7 7840HS Octa-Core CPU | NVIDIA GeForce RTX 4060 Laptop GPU | 17.3"" QHD 165Hz IPS Display | 1TB Gen 4 SSD | Wi-Fi 6E | RGB Backlit KB | AN17-41-R7G3, Black",https://m.media-amazon.com/images/I/711+0tgn+6L._AC_SY300_SX300_.jpg,"$1,228.99",4.3 out of 5 stars,288 ratings,Only 7 left in stock - order soon.
"Acer Nitro 5 AN515-58-57Y8 Gaming Laptop | Intel Core i5-12500H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 16GB DDR4 | 512GB Gen 4 SSD | Killer Wi-Fi 6 | Backlit Keyboard",https://m.media-amazon.com/images/I/71ctRE34RuL.__AC_SY300_SX300_QL70_ML2_.jpg,,4.5 out of 5 stars,766 ratings,In Stock
"Acer Predator Triton 14 Gaming/Creator Laptop | 13th Gen Intel i7-13700H | NVIDIA GeForce RTX 4050 | 14"" WUXGA 165Hz G-SYNC Display | 16GB LPDDR5 | 512GB PCIe Gen 4 SSD | Killer WiFi 6E | PT14-51-78B4",https://m.media-amazon.com/images/I/81tddBq+A6L._AC_SX300_SY300_.jpg,$895.00,4.1 out of 5 stars,135 ratings,Only 9 left in stock - order soon.
"Acer Nitro 16 Gaming Laptop | AMD Ryzen 7 7840HS OctaCore CPU | NVIDIA GeForce RTX 4060 Laptop GPU | 16"" WUXGA 165Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | WiFi 6E | RGB Backlit KB | AN16-41-R4CY",https://m.media-amazon.com/images/I/71Hiqi140OL.__AC_SY300_SX300_QL70_ML2_.jpg,,Previous page of related Sponsored Products,,In Stock
"Acer Chromebook Spin 311 Convertible Laptop, Intel Celeron N4020, 11.6"" HD Touch, 4GB LPDDR4, 32GB eMMC, Gigabit Wi-Fi 5, Bluetooth 5.0, Google Chrome, CP311-2H-C679",https://m.media-amazon.com/images/I/61dsJm45m3L.__AC_SX300_SY300_QL70_ML2_.jpg,$195.00,4.5 out of 5 stars,"10,324 ratings",Only 1 left in stock - order soon.
"acer 2023 Newest Chromebook 315 Laptop, 15.6"" HD Display, Intel Celeron N4020(Up to 2.8GHz), 4GB RAM, 64GB eMMC, Intel UHD Graphics, 12.5H Long Battery, WiFi, Bluetooth, Chrome OS",https://m.media-amazon.com/images/I/61GC32HBM-L.__AC_SY300_SX300_QL70_ML2_.jpg,$179.99,4.5 out of 5 stars,18 ratings,In Stock
"acer 2023 Newest Aspire 3 Laptop, 15.6” FHD IPS Touchscreen Display, AMD Ryzen 5 7520U Processor (Beats i7-1165G7), 8GB RAM, 512GB SSD, AMD Radeon Graphics, Wi-Fi 6, Windows 11 Home, Steam Blue",https://m.media-amazon.com/images/I/71O5tp516aL.__AC_SY300_SX300_QL70_ML2_.jpg,$428.00,3.9 out of 5 stars,18 ratings,Only 6 left in stock - order soon.
"acer Aspire 2024 Flagship Business Laptop, 15.6"" FHD IPS Display, 8-Core AMD Ryzen 7 5700U Processor, 16GB RAM, 512GB SSD, RJ-45, Wi-Fi 6, Webcam, Long Battery, Windows 11 Pro +HubxcelAccessory",https://m.media-amazon.com/images/I/615lYBGdEeL.__AC_SY300_SX300_QL70_ML2_.jpg,$489.00,Previous page of related Sponsored Products,,Only 6 left in stock - order soon.
"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-51H9",https://m.media-amazon.com/images/I/71F-Wcriq4L.__AC_SY300_SX300_QL70_ML2_.jpg,,3.9 out of 5 stars,13 ratings,In Stock
"Acer Aspire 1 Slim 2024 Newest Laptop, 15.6'' Full HD Display, 16GB RAM, 512GB SSD, Dual-Core Intel Celeron N4500, UHD Graphics, RJ45, WiFi, Webcam, 1-Year Microsoft 365, Windows 11S +MarxsolAccessory",https://m.media-amazon.com/images/I/61KNJoeQPaL.__AC_SY300_SX300_QL70_ML2_.jpg,$359.00,5.0 out of 5 stars,5 ratings,Only 8 left in stock - order soon.
"Acer Chromebook 516 GE Cloud Gaming Laptop | 16.0"" WQXGA 2560x1600 100% sRGB 120Hz IPS | Intel Core i5-1240P | 16GB LPDDR4X | 256GB Gen 4 SSD | Wi-Fi 6E | RGB Backlit KB | Chrome OS | CBG516-1H-53TD",https://m.media-amazon.com/images/I/51hhmX-TGIL.__AC_SX300_SY300_QL70_ML2_.jpg,,4.3 out of 5 stars,6 ratings,In Stock
"acer 2024 Newest Aspire 1 Slim Student Laptop Computer, 15.6"" FHD Display, Intel Celeron Dual-core Processor, 16GB RAM, 128GB eMMC, 1-Year Microsoft 365, Business Laptop, Thin & Light, Win 11 Home S",https://m.media-amazon.com/images/I/81B17DAUKWL.__AC_SY300_SX300_QL70_ML2_.jpg,$359.00,4.4 out of 5 stars,"2,630 ratings",In Stock
"Acer Aspire 1 Slim Laptop for Business and Students, 15.6"" FHD Display, Intel Celeron N4500 Processor, 4GB RAM, 128GB eMMC, ‎Intel UHD Graphics, WiFi, Bluetooth, Windows 11 S",https://m.media-amazon.com/images/I/61RzOEAkUqL.__AC_SY300_SX300_QL70_ML2_.jpg,$245.00,Previous page of related Sponsored Products,,Only 5 left in stock - order soon.
"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode,Silver",https://m.media-amazon.com/images/I/71pvhTrmZDL.__AC_SY300_SX300_QL70_ML2_.jpg,$370.58,4.3 out of 5 stars,874 ratings,Only 1 left in stock - order soon.
"Acer Aspire 5 A515-46-R3UB | 15.6"" Full HD IPS Display | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | Windows 11 Home in S mode",https://m.media-amazon.com/images/I/7189iXimfWL.__AC_SY300_SX300_QL70_ML2_.jpg,$399.00,4.5 out of 5 stars,"2,955 ratings",In Stock
"Acer Aspire Vero AV15-53P-77V9 Intel Evo Green PC | 15.6"" FHD IPS 100% sRGB Display | Intel Core i7-1355U | Intel Iris Xe Graphics | 16GB LPDDR5 | 512GB Gen 4 SSD | Killer Wi-Fi 6E | PCR Materials",https://m.media-amazon.com/images/I/81bTFesIyaL.__AC_SY300_SX300_QL70_ML2_.jpg,$750.79,4.3 out of 5 stars,800 ratings,Only 1 left in stock - order soon.
"acer Newest Aspire 1 15.6"" FHD Slim Laptop Computer, 16GB RAM, 64GB + 512GB NVMe SSD, Intel Dual-Core Processor, 1-Year Office 365, Numeric KYB, HDMI, Webcam, WiFi, Ethernet, Win 11,w/CUE Accessories",https://m.media-amazon.com/images/I/61iPaP2WzWL.__AC_SY300_SX300_QL70_ML2_.jpg,$349.99,4.5 out of 5 stars,11 ratings,In Stock
