title,image-link,price,rating,reviews,availability
"Dell 2022 Newest Inspiron 15 Laptop, 15.6"" HD Display, Intel Celeron N4020 Processor, 16GB DDR4 RAM, 1TB PCIe SSD, Webcam, HDMI, Wi-Fi, Bluetooth, Windows 11 Home, Black",https://m.media-amazon.com/images/I/81QjZasTdyL.__AC_SX300_SY300_QL70_ML2_.jpg,$409.99,4.1 out of 5 stars,654 ratings,In Stock
"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",https://m.media-amazon.com/images/I/71OoFTrVZxL.__AC_SX300_SY300_QL70_ML2_.jpg,$645.00,4.2 out of 5 stars,119 ratings,Only 5 left in stock - order soon.
"Dell Inspiron 3511 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 (Beats Intel i7-1065G7), 16GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",https://m.media-amazon.com/images/I/719yYrijeKL.__AC_SX300_SY300_QL70_ML2_.jpg,$490.85,4.1 out of 5 stars,384 ratings,Only 9 left in stock - order soon.
"Dell Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 12GB RAM, 256GB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",https://m.media-amazon.com/images/I/71lsq9TesJL.__AC_SY300_SX300_QL70_ML2_.jpg,$414.87,4.4 out of 5 stars,309 ratings,In Stock
"Dell 2023 Newest Inspiron Laptop, 15.6"" FHD IPS Touchscreen, Intel Core i5-1155G7(Beats i7-1065G7) Processor (Quad-core), 16GB RAM, 512GB SSD, Wi-Fi, Bluetooth, Windows 11 Home, Carbon Black",https://m.media-amazon.com/images/I/614QBfnSB2L.__AC_SY300_SX300_QL70_ML2_.jpg,$454.65,4.3 out of 5 stars,59 ratings,Only 8 left in stock - order soon.
"Dell Inspiron 15 3511 15.6 Inch Laptop, Full HD LED Non-Touch WVA Display - Intel Core i3-1115G4, 8GB DDR4 RAM, 256GB SSD, UHD Graphics, Windows 11 Home - Carbon Black",https://m.media-amazon.com/images/I/81x8wuiiloS.__AC_SX300_SY300_QL70_ML2_.jpg,$324.00,4.1 out of 5 stars,354 ratings,In Stock
"Dell Inspiron 7630 Laptop - 16.0-inch 16:10 2.5K (2560x1600) Display, Intel Core i7-13620H, 16GB LPDDR5 RAM, 1TB SSD, NVIDIA GeForce RTX 3050 GDDR6 Graphics, 1 Year Onsite Service - Platinum Silver",https://m.media-amazon.com/images/I/71W2pUnrTaL.__AC_SX300_SY300_QL70_ML2_.jpg,,4.5 out of 5 stars,26 ratings,Not Available
Dell Inspiron 7630 Laptop - 16.0-inch + Microsoft 365 (Office) 1-Month | Activation Required | Auto-Renewing,https://m.media-amazon.com/images/I/61tJkknWOzL.__AC_SX300_SY300_QL70_ML2_.jpg,"$1,199.97",3.5 out of 5 stars,26 ratings,In Stock
"Dell Inspiron 7630 Laptop - Intel Core i7-13700H, 16-inch 16:10 2.5K Display, 16GB LPDDR5 RAM, 512GB SSD, NVIDIA GeForce RTX 3050 6GB GDDR6, Services Included, Windows 11 Pro - Silver",https://m.media-amazon.com/images/I/71B7LdTKfEL.__AC_SX300_SY300_QL70_ML2_.jpg,"$1,134.99",3.5 out of 5 stars,26 ratings,Only 2 left in stock - order soon.
"DELL Inspiron Laptop, 15.6"" HD Display, AMD Ryzen 5 3450U Processor, 32GB RAM, 1TB SSD, Webcam, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Carbon Black",https://m.media-amazon.com/images/I/61VlwdYvygL.__AC_SX300_SY300_QL70_ML2_.jpg,$489.00,4.2 out of 5 stars,197 ratings,Only 2 left in stock - order soon.
"Dell G15 15.6"" Gaming Laptop - FHD 120Hz Display, Intel Core i7-13650HX(14-core), NVIDIA GeForce RTX 4050, 64GB DDR5, 1TB SSD, Backlit Keyboard, Windows 11 Pro, with Laptop Stand",https://m.media-amazon.com/images/I/71rFLG-eV6L.__AC_SX300_SY300_QL70_ML2_.jpg,$607.49,4.4 out of 5 stars,41 ratings,Only 1 left in stock - order soon.
"Dell Inspiron 15 Touchscreen Laptop for Business, 15.6"" FHD Touch Screen Laptop Computer, Intel Core i7-1355U Up to 5GHz, Intel Iris Xe Graphics, 16GB RAM, 1TB SSD, Wi-Fi 6, Win 11 Home, with Stand",https://m.media-amazon.com/images/I/71NwtqJ9W9L.__AC_SY300_SX300_QL70_ML2_.jpg,$939.99,4.5 out of 5 stars,125 ratings,Only 6 left in stock - order soon.
"Dell 2022 Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 32GB RAM, 512GB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",https://m.media-amazon.com/images/I/71NkhRKdoQL.__AC_SY300_SX300_QL70_ML2_.jpg,$501.00,4.3 out of 5 stars,597 ratings,Only 1 left in stock - order soon.
"Dell Latitude 7480 Laptop - Intel Core i5-7300U CPU 2.60GHz, 16GB RAM, 256GB SSD, 14 HD Display, Webcam, Windows 10 Pro (Renewed)",https://m.media-amazon.com/images/I/61B-6MfZ2bL.__AC_SY300_SX300_QL70_ML2_.jpg,$174.99,4.2 out of 5 stars,396 ratings,Only 10 left in stock - order soon.
"Dell USB 3.0 Ultra HD/4K Triple Display Docking Station (D3100), Black",https://m.media-amazon.com/images/I/61iTFOhbBLL.__AC_SX300_SY300_QL70_ML2_.jpg,,4.4 out of 5 stars,"10,581 ratings",In Stock
"Dell Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 32GB RAM, 1TB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",https://m.media-amazon.com/images/I/71lsq9TesJL.__AC_SY300_SX300_QL70_ML2_.jpg,,4.0 out of 5 stars,158 ratings,Only 7 left in stock - order soon.
