title,price,rating,reviews,availability
"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 20GB RAM, 1TB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey",$389.00,4.2 out of 5 stars,305 ratings,In Stock
"Lenovo V15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Hexa-core Processor (Beat Intel i7-1065G7), 16GB RAM, 512GB SSD, HDMI, RJ45, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black",$487.00,4.4 out of 5 stars,229 ratings,In Stock
"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 20GB RAM, 1TB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey",$389.00,4.2 out of 5 stars,305 ratings,In Stock
"Lenovo V15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Hexa-core Processor (Beat Intel i7-1065G7), 16GB RAM, 512GB SSD, HDMI, RJ45, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black",$487.00,4.4 out of 5 stars,229 ratings,In Stock
"Lenovo IdeaPad 1 14 Laptop, Intel Celeron N4020, 4GB RAM, 128GB Storage(64GB eMMC+64GB Micro SD), Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey",$157.92,3.6 out of 5 stars,585 ratings,Only 7 left in stock - order soon.
"Lenovo IdeaPad 1 – AMD Ryzen5-5500U – 15.6"" Full HD (1920x1080) – 8GB Memory – 512GB SSD Storage – Windows 11 - Cloud Grey – (2023 Model)",,4.3 out of 5 stars,166 ratings,In Stock
"Lenovo 2024 Newest IdeaPad Laptop, 15.6"" FHD Display, Intel 12th Gen core i5-1235U, 16GB RAM, 512GB PCIe4.0 SSD, Webcam, Wi-Fi6, Bluetooth, Windows 11 Pro, with Cefesfy Mousepad",$699.99,4.3 out of 5 stars,506 ratings,In Stock
"Lenovo 2022 Ideapad 1i 14.0"" HD Laptop, Intel Pentium Silver N5030 Processor, 4GB RAM, 128GB SSD, Intel HD Graphics, HD Webcam, Gray, Win 11 S, 1 Year Office 365, 32GB SnowBell USB Card",,4.1 out of 5 stars,190 ratings,In Stock
"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 10 in S Mode, Ice Blue",$172.00,4.2 out of 5 stars,"1,872 ratings",In Stock
"Lenovo Ideapad 14.0"" HD Laptop, Intel Pentium N5030 Quad Core Processor, 4GB RAM, WiFi, Webcam, Bluetooth, HDMI, 1-Year Microsoft 365, Window 11 in S Mode, Z&O Accessories (Cloud Grey | 128GB EMMC)",,4.2 out of 5 stars,"1,872 ratings",Not Available
"Lenovo Ideapad 14.0"" HD Laptop, Intel Pentium N5030 Quad Core Processor, 4GB RAM, WiFi, Webcam, Bluetooth, HDMI, 1-Year Microsoft 365, Window 11 in S Mode, Z&O Accessories (Cloud Grey | 1TB NVMe)",$318.88,4.2 out of 5 stars,"1,872 ratings",Only 9 left in stock - order soon.
"Lenovo Ideapad 14.0"" HD Laptop, Intel Pentium N5030 Quad Core Processor, 4GB RAM, WiFi, Webcam, Bluetooth, HDMI, 1-Year Microsoft 365, Window 11 in S Mode, Z&O Accessories (Cloud Grey | 256GB NVMe)",$248.88,4.2 out of 5 stars,"1,872 ratings",Only 7 left in stock - order soon.
"Lenovo Ideapad 14.0"" HD Laptop, Intel Pentium N5030 Quad Core Processor, 4GB RAM, WiFi, Webcam, Bluetooth, HDMI, 1-Year Microsoft 365, Window 11 in S Mode, Z&O Accessories (Cloud Grey | 512GB NVMe)",$268.88,4.2 out of 5 stars,"1,872 ratings",In Stock
"Lenovo IdeaPad 3 – (2023) - Everyday Notebook - Windows 11-14"" Full HD – 8GB Memory – 128GB Storage - Intel Core i3-1115G - Platinum Grey",$289.97,4.3 out of 5 stars,324 ratings,Only 11 left in stock - order soon.
"Lenovo IdeaPad Gaming 3 15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5600H, NVIDIA GeForce GTX 1650, 8GB RAM, 256GB Storage, Windows 10H",,4.6 out of 5 stars,"1,185 ratings",Only 1 left in stock - order soon.
"Lenovo V15 G4 Business Laptop, 15.6"" FHD Screen, 13th Gen Intel 10 Cores i7-1355U up to 5.0GHz, 16GB RAM, 1TB PCIe SSD, HD Camera with Privacy Shutter, Wi-Fi, HDMI, Windows 11 Pro, Black",$799.00,4.1 out of 5 stars,13 ratings,In Stock
"Lenovo Newest V15 Series 15.6""(1920x1080) FHD Laptop | Intel 4-Cores Upto 3.3Ghz Processor | Dolby Audio | Ethernet | HDMI | WiFi & Bluetooth | Webcam | Windows 11 Home (16GB RAM | 1TB SSD)",$399.99,3.8 out of 5 stars,4 ratings,In Stock
