title,image-link,price,rating,reviews,availability
Farmacy Honey Halo Ceramide Face Moisturizer Cream - Hydrating Facial Lotion for Dry Skin (1.7 Ounce),https://m.media-amazon.com/images/I/41Nj++2b2TL._SY300_SX300_.jpg,$48.00,4.6 out of 5 stars,"2,713 ratings",In Stock
Farmacy Natural Cleansing Balm - Green Clean Makeup Remover Balm - Effortlessly Removes Makeup & SPF - 200ml Makeup Cleansing Balm,https://m.media-amazon.com/images/I/41lQ4dEI-qL._SX300_SY300_QL70_ML2_.jpg,$65.00,4.7 out of 5 stars,"7,296 ratings",In Stock
"Farmacy Brightening Toner for Face - Toner with 3% TXA, Azelaic Acid & PHA, 120ml",https://m.media-amazon.com/images/I/51DBzCUMhsL.__AC_SX300_SY300_QL70_ML2_.jpg,,4.3 out of 5 stars,155 ratings,Not Available
Farmacy Daily Greens Oil Free Gel Face Moisturizer - Daily Facial Moisturizing Cream with Hyaluronic Acid - New Fragrance-Free Formula,https://m.media-amazon.com/images/I/41Y0nuiFrsL._SX300_SY300_QL70_ML2_.jpg,$44.00,4.5 out of 5 stars,913 ratings,In Stock
Farmacy Whipped Greens Face Wash - Oil Free Foaming Facial Cleanser for Combination and Oily Skin (5.0 Fl Oz),https://m.media-amazon.com/images/I/31VByWNiK9L._SX300_SY300_QL70_ML2_.jpg,$29.00,4.7 out of 5 stars,952 ratings,In Stock
Farmacy Deep Sweep 2% BHA Toner for Face - Pore Cleaner and Facial Exfoliator with Salicylic Acid (4 Fl Oz),https://m.media-amazon.com/images/I/31Kp9hLdlHL._SX300_SY300_QL70_ML2_.jpg,$34.00,4.7 out of 5 stars,"1,725 ratings",In Stock
Farmacy Honey Halo Ceramide Face Moisturizer Cream - Hydrating Facial Lotion for Dry Skin (1.7 Ounce),https://m.media-amazon.com/images/I/41Nj++2b2TL._SY300_SX300_.jpg,$48.00,4.6 out of 5 stars,"2,713 ratings",In Stock
"Forever Flawless Luxury Moisturizing Face Cream. Diamond Infused Anti-Aging Cream. For a 24/7 Day/Night Optimal Hydration Level and For a Radiant, Flawless Appearance.",https://m.media-amazon.com/images/I/31FyZp5D-+L._SX300_SY300_.jpg,$46.46,4.3 out of 5 stars,117 ratings,Only 19 left in stock - order soon.
YJ PREMIUMS 12 PC Pharmacy Pens for Nurse & Pharmacist | Funny Drug Nursing Week Pharmacy Tech Technician Gifts for Women Needle Vaccine Syringe Pill Medicine Pen Supplies Accessories Bulk,https://m.media-amazon.com/images/I/71es05Z-cML.__AC_SX300_SY300_QL70_ML2_.jpg,$13.99,4.4 out of 5 stars,26 ratings,In Stock
Farmacy Daily Greens Oil Free Gel Face Moisturizer - Daily Facial Moisturizing Cream with Hyaluronic Acid - New Fragrance-Free Formula,https://m.media-amazon.com/images/I/41Y0nuiFrsL._SX300_SY300_QL70_ML2_.jpg,$44.00,4.5 out of 5 stars,913 ratings,In Stock
Farmacy Makeup Remover Cleansing Balm - Clearly Clean Fragrance-Free Makeup Melting Balm - Great Balm Cleanser for Sensitive Skin (50ml),https://m.media-amazon.com/images/I/31s0XqlBfwL._SX300_SY300_QL70_ML2_.jpg,$24.00,4.4 out of 5 stars,163 ratings,In Stock
Farmacy Deep Sweep 2% BHA Toner for Face - Pore Cleaner and Facial Exfoliator with Salicylic Acid (4 Fl Oz),https://m.media-amazon.com/images/I/31Kp9hLdlHL._SX300_SY300_QL70_ML2_.jpg,$34.00,4.7 out of 5 stars,"1,725 ratings",In Stock
