title,image-link,price,rating,reviews,availability
"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: 13.6-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID; Space Gray",https://m.media-amazon.com/images/I/71ItMeqpN3L.__AC_SY445_SX342_QL70_ML2_.jpg,$909.88,4.4 out of 5 stars,61 ratings,Only 1 left in stock - order soon.
"Apple 2022 MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Silver",https://m.media-amazon.com/images/I/71eXNIDUGjL.__AC_SY445_SX342_QL70_ML2_.jpg,$840.51,4.4 out of 5 stars,"2,446 ratings",Only 4 left in stock - order soon.
"2017 Apple Macbook Air with 1.8GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD Storage) (QWERTY English) Silver (Renewed)",https://m.media-amazon.com/images/I/61U4MibK9tL.__AC_SX300_SY300_QL70_ML2_.jpg,$234.00,4.1 out of 5 stars,494 ratings,In Stock
"Apple 2023 MacBook Pro Laptop M3 Pro chip with 12‑core CPU, 18‑core GPU: 14.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 1TB SSD Storage. Works with iPhone/iPad; Silver",https://m.media-amazon.com/images/I/61SdxEONyuL.__AC_SY445_SX342_QL70_ML2_.jpg,"$1,940.32",4.7 out of 5 stars,231 ratings,Only 3 left in stock - order soon.
"Apple 13.3 inches MacBook Air Retina display, 1.6GHz dual-core Intel Core i5, 256GB - Space Gray (Renewed)",https://m.media-amazon.com/images/I/51dafnlz6wL.__AC_SY300_SX300_QL70_ML2_.jpg,$385.06,4.1 out of 5 stars,"2,364 ratings",In Stock
"Apple MacBook Air (13-inch Retina display, 1.6GHz dual-core Intel Core i5, 128GB) - Gold (Renewed)",https://m.media-amazon.com/images/I/71thf1SYnGL.__AC_SX300_SY300_QL70_ML2_.jpg,,4.1 out of 5 stars,"2,364 ratings",Not Available
"Late 2018 Apple MacBook Air with 1.6 GHz Intel Core i5 Dual-Core (13 inch, 8GB RAM, 256GB SSD) Silver (Renewed)",https://m.media-amazon.com/images/I/41lUYFnOxFL.__AC_SX300_SY300_QL70_ML2_.jpg,$399.00,4.1 out of 5 stars,"2,364 ratings",Only 17 left in stock - order soon.
"Apple 2020 MacBook Air Laptop M1 Chip, 13” Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Gold",https://m.media-amazon.com/images/I/71vFKBpKakL.__AC_SY445_SX342_QL70_ML2_.jpg,,4.7 out of 5 stars,"20,105 ratings",In Stock
"Apple 2023 MacBook Air Laptop with M2 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Midnight",https://m.media-amazon.com/images/I/81Fm0tRFdHL.__AC_SY445_SX342_QL70_ML2_.jpg,,4.7 out of 5 stars,"1,974 ratings",In stock
"Apple 2024 MacBook Air 15-inch Laptop with M3 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID; Silver",https://m.media-amazon.com/images/I/71h-tsPzk5L.__AC_SY445_SX342_QL70_ML2_.jpg,,4.4 out of 5 stars,49 ratings,Not Available
"Apple 2022 13"" MacBook Air M2, 16GB RAM, 256GB Storage - Midnight (Z160000AU)",https://m.media-amazon.com/images/I/719C6bJv8jL.__AC_SX300_SY300_QL70_ML2_.jpg,"$1,198.55",4.8 out of 5 stars,69 ratings,In Stock
"Apple MacBook Air with Intel Core i5, 1.6GHz, (13-inch, 4GB,128GB SSD) - Silver (Renewed)",https://m.media-amazon.com/images/I/6157eU56s2L.__AC_SX300_SY300_QL70_ML2_.jpg,$206.00,4.2 out of 5 stars,"2,081 ratings",In Stock
"Apple 2023 MacBook Pro Laptop M3 chip with 8‑core CPU, 10‑core GPU: 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 1TB SSD Storage. Works with iPhone/iPad; Space Gray",https://m.media-amazon.com/images/I/61lsexTCOhL.__AC_SY445_SX342_QL70_ML2_.jpg,"$1,471.08",4.6 out of 5 stars,186 ratings,Only 2 left in stock - order soon.
"Apple 2023 MacBook Pro Laptop M3 Max chip with 14‑core CPU, 30‑core GPU: 16.2-inch Liquid Retina XDR Display, 36GB Unified Memory, 1TB SSD Storage. Works with iPhone/iPad; Silver",https://m.media-amazon.com/images/I/61dnax4xchL.__AC_SY445_SX342_QL70_ML2_.jpg,"$3,097.25",4.6 out of 5 stars,143 ratings,Only 1 left in stock - order soon.
"Late 2019 Apple MacBook Pro with 2.6GHz Intel Core i7 (16-Inch, 16GB RAM, 512GB Storage) - Silver (Renewed)",https://m.media-amazon.com/images/I/619L9jf3-rL.__AC_SX300_SY300_QL70_ML2_.jpg,$675.00,4.2 out of 5 stars,124 ratings,Only 7 left in stock - order soon.
"Apple 2022 MacBook Pro Laptop with M2 chip: 13-inch Retina Display, 8GB RAM, 256GB ​​​​​​​SSD ​​​​​​​Storage, Touch Bar, Backlit Keyboard, FaceTime HD Camera. Works with iPhone and iPad; Space Gray",https://m.media-amazon.com/images/I/61L5QgPvgqL.__AC_SY445_SX342_QL70_ML2_.jpg,"$1,039.49",4.7 out of 5 stars,"1,283 ratings",Only 5 left in stock - order soon.
"Apple 2023 MacBook Pro Laptop M2 Pro chip with 12‑core CPU and 19‑core GPU: 16.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Silver",https://m.media-amazon.com/images/I/61bwiPRcv2L.__AC_SY445_SX342_QL70_ML2_.jpg,"$1,998.99",4.7 out of 5 stars,357 ratings,In Stock
"Apple 2023 MacBook Air Laptop with M2 chip: 15.3-inch Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 1080p FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Midnight",https://m.media-amazon.com/images/I/81EHBhjC-+L._AC_SX342_SY445_.jpg,"$1,406.77",4.7 out of 5 stars,87 ratings,Only 2 left in stock - order soon.
"Apple 2024 MacBook Air 13-inch Laptop with M3 chip, 16GB Unified Memory, 256GB SSD Storage, Midnight - Z1BC0015S",https://m.media-amazon.com/images/I/71-D1xCuVwL.__AC_SX300_SY300_QL70_ML2_.jpg,"$1,299.00",Previous page of related Sponsored Products,,Only 3 left in stock - order soon.
"Apple MacBook Air 15.3"" with M3 Chip (Early 2024) - Midnight, 8-Core / 10-Core, 16GB, 35W Dual Adapter, 256GB SSD",https://m.media-amazon.com/images/I/71O14N5GYLL.__AC_SX300_SY300_QL70_ML2_.jpg,"$1,489.99",Previous page of related Sponsored Products,,Only 1 left in stock - order soon.
"Apple MacBook Pro 16.2"" with M3 Max Chip (Late 2023) - Space Black, 14-Core / 30-Core, 96GB, 1TB SSD",https://m.media-amazon.com/images/I/51ZqjuoQFWL.__AC_SX300_SY300_QL70_ML2_.jpg,"$4,130.35",Previous page of related Sponsored Products,,Only 3 left in stock - order soon.
"2018 Apple MacBook Pro with 2.6 Intel Core i7 (15-inch, 16GB RAM, 512GB SSD Storage) Silver (Renewed)",https://m.media-amazon.com/images/I/61Izntd7yML.__AC_SY300_SX300_QL70_ML2_.jpg,$559.00,4.1 out of 5 stars,644 ratings,Only 3 left in stock - order soon.
"2018 Apple MacBook Pro with 2.2GHz Intel Core i7 (15-inch, 16GB RAM, 256GB SSD Storage) Silver (Renewed)",https://m.media-amazon.com/images/I/61Izntd7yML.__AC_SY300_SX300_QL70_ML2_.jpg,$494.00,4.1 out of 5 stars,644 ratings,Only 11 left in stock - order soon.
"Apple 2023 MacBook Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 14.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Gray",https://m.media-amazon.com/images/I/61lYIKPieDL.__AC_SY445_SX342_QL70_ML2_.jpg,,4.7 out of 5 stars,547 ratings,In Stock
"Apple 2019 MacBook Pro (16-inch, 16GB RAM, 1TB Storage, 2.3GHz Intel Core i9) - Space Gray",https://m.media-amazon.com/images/I/71pC69I3lzL.__AC_SY445_SX342_QL70_ML2_.jpg,"$1,223.52",4.7 out of 5 stars,"4,953 ratings",Only 1 left in stock - order soon.
"Apple 2023 15"" MacBook Air M2, 16GB RAM, 512GB Storage - Midnight (Z18T000PP)",https://m.media-amazon.com/images/I/81si8v7zy8L.__AC_SX300_SY300_QL70_ML2_.jpg,"$1,598.95",4.6 out of 5 stars,12 ratings,Only 1 left in stock - order soon.
"Apple MacBook Air 15.3"" with Liquid Retina Display, M2 Chip with 8-Core CPU and 10-Core GPU, 24GB Memory, 2TB SSD, 70W USB-C Power Adapter, Midnight, Mid 2023",https://m.media-amazon.com/images/I/61xfZmqdwSL.__AC_SX300_SY300_QL70_ML2_.jpg,"$2,399.00",5.0 out of 5 stars,1 rating,Only 1 left in stock - order soon.
