"State","District","Date","Year","Month","Avg_smlvl_at15cm","Agency_name"
"Andaman & Nicobar","Nicobars","2023-10-01","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-07","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-08","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-09","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-10","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-11","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-12","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-13","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-14","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-15","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-16","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-17","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-18","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-01","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-07","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-08","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-09","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-10","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-11","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-12","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-13","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-14","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-15","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-16","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-17","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-18","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-01","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-07","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-08","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-09","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-10","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-11","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-12","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-13","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-14","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-15","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-16","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-17","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-18","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-01","2023","10","25.4225109351","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-07","2023","10","21.6404082116","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-08","2023","10","21.1118303756","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-09","2023","10","20.8376824195","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-10","2023","10","20.3785294177","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-11","2023","10","19.9612036895","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-12","2023","10","20.9445724389","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-13","2023","10","20.2935333528","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-14","2023","10","19.8112456813","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-15","2023","10","19.4059493125","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-16","2023","10","19.0478173807","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-17","2023","10","18.7237013803","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-18","2023","10","18.420327143","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-01","2023","10","28.9290333739","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-07","2023","10","24.1150714987","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-08","2023","10","23.6140858636","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-09","2023","10","24.046649201","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-10","2023","10","25.1502106129","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-11","2023","10","26.0326746123","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-12","2023","10","24.8499066254","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-13","2023","10","24.0154676981","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-14","2023","10","23.3732127072","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-15","2023","10","22.9053649548","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-16","2023","10","22.3655981277","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-17","2023","10","21.904639002","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-18","2023","10","21.3977786848","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-01","2023","10","27.5247538371","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-07","2023","10","24.0446842428","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-08","2023","10","23.4102038544","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-09","2023","10","23.4293951959","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-10","2023","10","22.8745417043","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-11","2023","10","22.3294475301","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-12","2023","10","21.976480997","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-13","2023","10","21.464015324","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-14","2023","10","20.9800158932","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-15","2023","10","20.5368351904","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-16","2023","10","20.1270011328","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-17","2023","10","19.7407956511","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-18","2023","10","19.3885311995","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-01","2023","10","31.7410367017","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-07","2023","10","26.1254881826","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-08","2023","10","25.2985624655","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-09","2023","10","24.5343642777","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-10","2023","10","23.8379198287","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-11","2023","10","23.3808726075","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-12","2023","10","22.7727454493","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-13","2023","10","22.1726988899","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-14","2023","10","21.617124729","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-15","2023","10","21.1094965773","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-16","2023","10","20.6821323247","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-17","2023","10","20.238774389","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-18","2023","10","19.8261172406","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-01","2023","10","25.3272262535","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-07","2023","10","22.0746284453","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-08","2023","10","21.348566164","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-09","2023","10","20.8409844277","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-10","2023","10","20.6581819083","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-11","2023","10","22.3873648084","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-12","2023","10","21.4820909569","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-13","2023","10","20.8180779923","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-14","2023","10","20.2727768459","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-15","2023","10","19.7081343057","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-16","2023","10","19.2413901171","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-17","2023","10","18.7486586921","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-18","2023","10","18.2947479223","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-01","2023","10","30.3435185763","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-07","2023","10","26.1502899034","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-08","2023","10","25.5454718653","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-09","2023","10","24.9874348623","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-10","2023","10","24.4725703382","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-11","2023","10","23.9862320194","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-12","2023","10","23.8531610113","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-13","2023","10","23.4310307602","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-14","2023","10","23.0150628691","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-15","2023","10","22.625786447","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-16","2023","10","22.2696498648","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-17","2023","10","21.9330862913","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2023-10-18","2023","10","21.6163134792","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-01","2023","10","29.9591489519","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-07","2023","10","25.0649943347","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-08","2023","10","24.4102704572","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-09","2023","10","23.8017504025","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-10","2023","10","23.2328275935","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-11","2023","10","22.7808595536","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-12","2023","10","22.5224402676","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-13","2023","10","22.0382864814","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-14","2023","10","21.5840532123","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-15","2023","10","21.1571428098","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-16","2023","10","20.7816560564","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-17","2023","10","20.4227285414","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2023-10-18","2023","10","20.0745878502","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-01","2023","10","25.3355050214","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-07","2023","10","21.6590417364","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-08","2023","10","21.0995215381","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-09","2023","10","20.5698282176","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-10","2023","10","20.3287119062","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-11","2023","10","19.8893474219","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-12","2023","10","19.4609926124","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-13","2023","10","19.0426240222","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-14","2023","10","18.6969733351","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-15","2023","10","18.536729382","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-16","2023","10","18.252399234","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-17","2023","10","17.9382887267","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-10-18","2023","10","17.6386204614","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-01","2023","10","16.9731783647","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-07","2023","10","15.0018228493","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-08","2023","10","14.5653410998","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-09","2023","10","14.1683412469","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-10","2023","10","13.7779042158","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-11","2023","10","13.4061592499","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-12","2023","10","13.0707134833","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-13","2023","10","12.7596761326","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-14","2023","10","12.4587230076","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-15","2023","10","12.159133785","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-16","2023","10","11.8771652627","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-17","2023","10","11.6168651048","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-10-18","2023","10","11.3829169439","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-10-01","2023","10","27.2208532139","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-10-07","2023","10","23.616194066","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-10-08","2023","10","22.9978237407","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-10-09","2023","10","23.1185365157","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-10-10","2023","10","22.6684367134","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-10-11","2023","10","22.1327095283","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-10-12","2023","10","21.6010468215","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-10-13","2023","10","21.1177273169","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-10-14","2023","10","20.6505198309","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-10-15","2023","10","20.2140279907","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-10-16","2023","10","19.8025427954","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-10-17","2023","10","19.4203668422","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-10-18","2023","10","19.0656926202","NRSC VIC MODEL"
"Andhra Pradesh","Vizianagaram","2023-10-01","2023","10","29.3785470836","NRSC VIC MODEL"
"Andhra Pradesh","Vizianagaram","2023-10-07","2023","10","24.6007676988","NRSC VIC MODEL"
"Andhra Pradesh","Vizianagaram","2023-10-08","2023","10","23.975629468","NRSC VIC MODEL"
"Andhra Pradesh","Vizianagaram","2023-10-09","2023","10","23.7171911315","NRSC VIC MODEL"
"Andhra Pradesh","Vizianagaram","2023-10-10","2023","10","23.112731126","NRSC VIC MODEL"
